t,x,v
1.050189544200016485e+02,-1.316638050935999615e+02,1.331809059391475314e+00
1.054677533705144867e+02,-1.311266329149696332e+02,1.043212674633705372e+00
1.059165523210273108e+02,-1.307353936958216423e+02,7.001283501583553948e-01
1.063653512715401348e+02,-1.304932086622263228e+02,3.882660683744659780e-01
1.068141502220529730e+02,-1.303778332387069554e+02,1.356690167365043331e-01
1.072629491725657971e+02,-1.303639984150153452e+02,-6.766192819204880360e-02
1.077117481230786211e+02,-1.304348036109971076e+02,-2.457793255341302885e-01
1.081605470735914452e+02,-1.305842928909283671e+02,-4.213647128224390914e-01
1.086093460241042692e+02,-1.308142815938528258e+02,-6.046280583062128011e-01
1.090581449746171074e+02,-1.311265122852557283e+02,-7.836825510150902119e-01
1.095069439251299315e+02,-1.315116444773338742e+02,-9.217804350336930019e-01
1.099557428756427555e+02,-1.319408321208237567e+02,-9.734034471813435285e-01
1.104045418261555938e+02,-1.323690523222623199e+02,-9.175823585618616551e-01
1.108533407766684178e+02,-1.327515374788315228e+02,-7.762536128217619735e-01
1.113021397271812418e+02,-1.330598140089138326e+02,-5.943695040930327966e-01
1.117509386776940659e+02,-1.332843323824691595e+02,-4.068331718501350114e-01
1.121997376282068899e+02,-1.334257596897843712e+02,-2.237532622583765229e-01
1.126485365787197281e+02,-1.334842994462227352e+02,-3.450187917193021925e-02
1.130973355292325522e+02,-1.334527177771952609e+02,1.814896372013765635e-01
1.135461344797453762e+02,-1.333146108762117308e+02,4.422202119367448780e-01
1.139949334302582145e+02,-1.330490508510221730e+02,7.465712727077825628e-01
1.144437323807710385e+02,-1.326438690930718849e+02,1.053284810717143971e+00
1.148925313312838625e+02,-1.321163207582929715e+02,1.274987967678545608e+00
1.153413302817966866e+02,-1.315252848041370157e+02,1.327192372969506096e+00
1.157901292323095106e+02,-1.309508696320920080e+02,1.210010418458820292e+00
1.162389281828223488e+02,-1.304516705176214657e+02,1.009231469035501760e+00
1.166877271333351729e+02,-1.300438512126088142e+02,8.142221656271982910e-01
1.171365260838479969e+02,-1.297133329439220120e+02,6.679803684154046461e-01
1.175853250343608352e+02,-1.294362597341760761e+02,5.748077437885723562e-01
1.180341239848736592e+02,-1.291912365518135744e+02,5.227214752578980272e-01
1.184829229353864832e+02,-1.289630000101344933e+02,4.979765961676439479e-01
1.189317218858993073e+02,-1.287415955066670392e+02,4.912137617975644854e-01
1.193805208364121313e+02,-1.285199011731105827e+02,4.992781054010898556e-01
1.198293197869249695e+02,-1.282907880802058003e+02,5.252819237633644667e-01
1.202781187374377936e+02,-1.280444854131312695e+02,5.776091750325835772e-01
1.207269176879506176e+02,-1.277667617749183506e+02,6.670131559644699726e-01
1.211757166384634559e+02,-1.274392225140331476e+02,7.996530779020704083e-01
1.216245155889762799e+02,-1.270440753718025633e+02,9.640262133043383530e-01
1.220733145394891039e+02,-1.265755921586854953e+02,1.116019305134087203e+00
1.225221134900019280e+02,-1.260551732120599127e+02,1.182681265890706435e+00
1.229709124405147520e+02,-1.255356715906367100e+02,1.107230769072144350e+00
1.234197113910275903e+02,-1.250811691317394434e+02,9.012567958588462158e-01
1.238685103415404143e+02,-1.247359682389129460e+02,6.331596074064558266e-01
1.243173092920532383e+02,-1.245119016428761682e+02,3.700654562171890039e-01
1.247661082425660766e+02,-1.243979926725154854e+02,1.447273203645425277e-01
1.252149071930789006e+02,-1.243759470117734622e+02,-4.067197906362692711e-02
1.256637061435917246e+02,-1.244304535392156197e+02,-1.990783573895748004e-01
1.261125050941045487e+02,-1.245528863676326807e+02,-3.455167026584954892e-01
1.265613040446173727e+02,-1.247400366453686900e+02,-4.877992852736366403e-01
1.270101029951302110e+02,-1.249893535361789958e+02,-6.203415364742106419e-01
1.274589019456430350e+02,-1.252924773209823286e+02,-7.234072203486091590e-01
1.279077008961558590e+02,-1.256304453494464894e+02,-7.717887954094776459e-01
1.283564998466686973e+02,-1.259747526510586795e+02,-7.508981205693681105e-01
1.288052987971815071e+02,-1.262949864301863414e+02,-6.672974849766339922e-01
1.292540977476943453e+02,-1.265675851488951906e+02,-5.426459669317182932e-01
1.297028966982071836e+02,-1.267790876715066588e+02,-3.976393764168156819e-01
1.301516956487199934e+02,-1.269227817045195792e+02,-2.406325793577098193e-01
1.306004945992328317e+02,-1.269925495767171100e+02,-6.644913726204934590e-02
1.310492935497456415e+02,-1.269779276265410459e+02,1.377461036034834108e-01
1.314980925002584797e+02,-1.268627637520894211e+02,3.824887630692476725e-01
1.319468914507713180e+02,-1.266292523388020328e+02,6.618947283984591978e-01
1.323956904012841278e+02,-1.262690110152218779e+02,9.375421761468220039e-01
1.328444893517969660e+02,-1.257991704502859847e+02,1.136619202377597837e+00
1.332932883023098043e+02,-1.252708423836001259e+02,1.190678695530997366e+00
1.337420872528226141e+02,-1.247531299013830193e+02,1.095498470956973280e+00
1.341908862033354524e+02,-1.243004605817499453e+02,9.139715462155479919e-01
1.346396851538482906e+02,-1.239349354019643954e+02,7.164425509783527435e-01
1.350884841043611004e+02,-1.236544245878415467e+02,5.374392040122827341e-01
1.355372830548739387e+02,-1.234499000596706111e+02,3.753486875104267151e-01
1.359860820053867485e+02,-1.233183284437157994e+02,2.074935172269273820e-01
1.364348809558995868e+02,-1.232693968397219635e+02,1.081612021037993421e-03
1.368836799064124250e+02,-1.233288082745019665e+02,-2.819346034643563370e-01
1.373324788569252348e+02,-1.235397477954184779e+02,-6.800332136991987797e-01
1.377812778074380731e+02,-1.239596138426113896e+02,-1.211994535410763518e+00
1.382300767579508829e+02,-1.246387755006781504e+02,-1.812001560889083152e+00
1.386788757084637211e+02,-1.255620098352910077e+02,-2.249241035188480620e+00
1.391276746589765594e+02,-1.265963087109371088e+02,-2.291986189728016043e+00
1.395764736094893692e+02,-1.275796489597537544e+02,-2.077733502647412855e+00
1.400252725600022075e+02,-1.284768780756611193e+02,-1.960838691934538636e+00
1.404740715105150457e+02,-1.293857844241760517e+02,-2.144241093813722188e+00
1.409228704610278555e+02,-1.304408797598621845e+02,-2.577972674604796843e+00
1.413716694115406938e+02,-1.316794133669199880e+02,-2.870222492616039123e+00
1.418204683620535320e+02,-1.329283082124436532e+02,-2.598347515107946037e+00
1.422692673125663418e+02,-1.339592684013249766e+02,-1.981696486790133438e+00
1.427180662630791801e+02,-1.347218755088589717e+02,-1.451012807970167628e+00
1.431668652135919899e+02,-1.352961553876522771e+02,-1.146090901378471028e+00
1.436156641641048282e+02,-1.357818563673901053e+02,-1.049776484261083498e+00
1.440644631146176664e+02,-1.362635023428101988e+02,-1.120692198320439203e+00
1.445132620651304762e+02,-1.368046055725839096e+02,-1.302297696999012322e+00
1.449620610156433145e+02,-1.374336941945140040e+02,-1.490454719202381595e+00
1.454108599661561243e+02,-1.381217497077263658e+02,-1.542645342407486631e+00
1.458596589166689625e+02,-1.387859426197141488e+02,-1.383846892309430920e+00
1.463084578671818008e+02,-1.393423592689207169e+02,-1.083027770763520969e+00
1.467572568176946106e+02,-1.397559696212198617e+02,-7.660017732954945702e-01
1.472060557682074489e+02,-1.400391181021483646e+02,-5.082269206829670427e-01
1.476548547187202871e+02,-1.402230492615699404e+02,-3.222119090381861395e-01
1.481036536692330969e+02,-1.403359052739408810e+02,-1.864421538888917651e-01
1.485524526197459352e+02,-1.403928583455048908e+02,-6.702176356129506407e-02
1.490012515702587734e+02,-1.403929446274280224e+02,7.325837466763843175e-02
1.494500505207715833e+02,-1.403183695666683946e+02,2.718192400547170817e-01
1.498988494712844215e+02,-1.401351382286181320e+02,5.622582423165783938e-01
1.503476484217972313e+02,-1.397974286763306679e+02,9.595631984256147717e-01
1.507964473723100696e+02,-1.392636928429816976e+02,1.420750431979924899e+00
1.512452463228229078e+02,-1.385343994477399576e+02,1.797890098188772656e+00
1.516940452733357176e+02,-1.376910151501070061e+02,1.907675216862858125e+00
1.521428442238485559e+02,-1.368625265193043106e+02,1.755373261726310030e+00
1.525916431743613657e+02,-1.361226008179385758e+02,1.553378038361399316e+00
1.530404421248742040e+02,-1.354454453740000019e+02,1.499784854953750468e+00
1.534892410753870422e+02,-1.347394706615186806e+02,1.690411383875328521e+00
1.539380400258998520e+02,-1.338907987202862557e+02,2.124334034038448671e+00
1.543868389764126903e+02,-1.328245406154540547e+02,2.601020273148980877e+00
1.548356379269255285e+02,-1.316171162294917565e+02,2.681289996310845858e+00
1.552844368774383383e+02,-1.305005314784118866e+02,2.232035770328509194e+00
1.557332358279511766e+02,-1.296337299703872930e+02,1.640992064005458273e+00
1.561820347784640148e+02,-1.290041118539421916e+02,1.197900038281894064e+00
1.566308337289768247e+02,-1.285291194530213090e+02,9.493619950891077908e-01
1.570796326794896629e+02,-1.281269698433276858e+02,8.682424545081456335e-01
1.575284316300024727e+02,-1.277285855396242340e+02,9.288854160288335660e-01
1.579772305805153110e+02,-1.272759432473793169e+02,1.103769776257216950e+00
1.584260295310281492e+02,-1.267296316608712772e+02,1.331359933087800096e+00
1.588748284815409590e+02,-1.260904976619896587e+02,1.494450977374513156e+00
1.593236274320537973e+02,-1.254162321285886605e+02,1.474598163233100001e+00
1.597724263825666071e+02,-1.247958921961426313e+02,1.265416506052734480e+00
1.602212253330794454e+02,-1.242924827714210920e+02,9.750444370932243032e-01
1.606700242835922836e+02,-1.239163559891561874e+02,7.112379412614622254e-01
1.611188232341050934e+02,-1.236431209062580479e+02,5.190491886253394416e-01
1.615676221846179317e+02,-1.234401258862013435e+02,3.953135883770847459e-01
1.620164211351307699e+02,-1.232815479348511758e+02,3.165156256275413194e-01
1.624652200856435798e+02,-1.231535344921578314e+02,2.543829200638235144e-01
1.629140190361564180e+02,-1.230548749399438861e+02,1.811804833025394967e-01
1.633628179866692562e+02,-1.229966056024600221e+02,6.984185940363775436e-02
1.638116169371820661e+02,-1.230021344596881931e+02,-1.081461791536604267e-01
1.642604158876949043e+02,-1.231084929644202930e+02,-3.853325490688198074e-01
1.647092148382077141e+02,-1.233682444680642334e+02,-7.974573269281373111e-01
1.651580137887205524e+02,-1.238477194634505167e+02,-1.363409936931758715e+00
1.656068127392333906e+02,-1.246048588889372013e+02,-2.007200489587067427e+00
1.660556116897462005e+02,-1.256202808425267818e+02,-2.454666658913522870e+00
1.665044106402590387e+02,-1.267375740295780133e+02,-2.450660652404725415e+00
