t,x,v
4.353349819974427248e+01,-1.297293597758177839e+02,-8.707877303655527923e-01
4.398229715025710362e+01,-1.301598927765611222e+02,-1.051352765010453716e+00
4.443109610076993476e+01,-1.306720263912913254e+02,-1.223283466595115110e+00
4.487989505128275880e+01,-1.312434583396667733e+02,-1.298323757241698573e+00
4.532869400179558284e+01,-1.318091130870683969e+02,-1.187444317299876984e+00
4.577749295230841398e+01,-1.322800647232627966e+02,-8.846451744652243931e-01
4.622629190282124512e+01,-1.325873845271773916e+02,-4.767655234221478966e-01
4.667509085333406915e+01,-1.327083155968985864e+02,-6.974189758085841406e-02
4.712388980384689319e+01,-1.326617947274044411e+02,2.592186066089877672e-01
4.757268875435972433e+01,-1.324949498972745801e+02,4.597214402693850510e-01
4.802148770487255547e+01,-1.322729260725834877e+02,5.023222860235222464e-01
4.847028665538537950e+01,-1.320677074344534105e+02,3.882894115758114273e-01
4.891908560589820354e+01,-1.319419490288196926e+02,1.579754160912990868e-01
4.936788455641103468e+01,-1.319328473995985576e+02,-1.183842788606005170e-01
4.981668350692386582e+01,-1.320430052214055934e+02,-3.602657386306922227e-01
5.026548245743668986e+01,-1.322403098295579582e+02,-4.967704795254505590e-01
5.071428140794951389e+01,-1.324665980907900860e+02,-4.855330000095062770e-01
5.116308035846234503e+01,-1.326532764989947282e+02,-3.226261260474972414e-01
5.161187930897517617e+01,-1.327374227853668742e+02,-3.480898379564914547e-02
5.206067825948800021e+01,-1.326724089808284361e+02,3.333956899665030393e-01
5.250947721000082424e+01,-1.324354518270764345e+02,7.187653248753724800e-01
5.295827616051365538e+01,-1.320379235704324969e+02,1.032490170486497272e+00
5.340707511102648652e+01,-1.315332067625279535e+02,1.184562314380044779e+00
5.385587406153931056e+01,-1.310036344744623875e+02,1.146185243264579823e+00
5.430467301205213460e+01,-1.305249049961446417e+02,9.714207745246705716e-01
5.475347196256496574e+01,-1.301403061504342134e+02,7.375969222311553608e-01
5.520227091307779688e+01,-1.298652405433296053e+02,4.861782871611762813e-01
5.565106986359062091e+01,-1.297067672556056550e+02,2.147986695841676563e-01
5.609986881410344495e+01,-1.296797864658183244e+02,-1.060587964506132796e-01
5.654866776461627609e+01,-1.298153941706099488e+02,-5.164479430377003633e-01
5.699746671512910723e+01,-1.301614079118274390e+02,-1.045644071077173054e+00
5.744626566564193126e+01,-1.307671764027259940e+02,-1.657530043735798930e+00
5.789506461615475530e+01,-1.316337643313613910e+02,-2.161658219818406224e+00
5.834386356666758644e+01,-1.326503919603515271e+02,-2.296643135404079050e+00
5.879266251718041758e+01,-1.336447303587853526e+02,-2.106156289394302217e+00
5.924146146769324162e+01,-1.345437797974482521e+02,-1.929922216760894926e+00
5.969026041820606565e+01,-1.354172789257345926e+02,-2.015362031086183503e+00
6.013905936871889679e+01,-1.363965348419696682e+02,-2.383455255496301994e+00
6.058785831923172793e+01,-1.375588288448307992e+02,-2.755026315684152571e+00
6.103665726974455197e+01,-1.387959060448874027e+02,-2.655215046102905152e+00
6.148545622025737600e+01,-1.398683082457611135e+02,-2.079501311921440276e+00
6.193425517077020714e+01,-1.406564104883408675e+02,-1.452153062807830741e+00
6.238305412128303828e+01,-1.411983119318095987e+02,-9.952732212692105840e-01
6.283185307179586232e+01,-1.415772177387556781e+02,-7.210997111209228594e-01
6.328065202230868636e+01,-1.418684480237272965e+02,-6.005554841458001780e-01
6.372945097282151750e+01,-1.421371404699405048e+02,-6.200555797147763171e-01
6.417824992333434864e+01,-1.424462260149234680e+02,-7.812715771828369071e-01
6.462704887384717267e+01,-1.428591726471080960e+02,-1.079712661719348654e+00
6.507584782435999671e+01,-1.434283175800108552e+02,-1.461073129367949530e+00
6.552464677487282074e+01,-1.441609393775425474e+02,-1.775762839932699677e+00
6.597344572538565899e+01,-1.449846755098168956e+02,-1.846293866922029236e+00
6.642224467589848302e+01,-1.457803911567843898e+02,-1.671964694367653825e+00
6.687104362641130706e+01,-1.464776047543901996e+02,-1.444083912640303557e+00
6.731984257692414531e+01,-1.470962626614737587e+02,-1.344207577751191707e+00
6.776864152743696934e+01,-1.477173529553710125e+02,-1.464506964579291415e+00
6.821744047794979338e+01,-1.484487334004862760e+02,-1.835391536881651575e+00
6.866623942846261741e+01,-1.493915689931488942e+02,-2.375149912019528742e+00
6.911503837897544145e+01,-1.505549799536711362e+02,-2.738284113237619888e+00
6.956383732948827969e+01,-1.517630923642414302e+02,-2.550606652609563429e+00
7.001263628000110373e+01,-1.527909820446230924e+02,-2.012500533246812218e+00
7.046143523051392776e+01,-1.535816709839605210e+02,-1.543604823856393526e+00
7.091023418102676601e+01,-1.542104707745626229e+02,-1.296575537190102656e+00
7.135903313153959004e+01,-1.547765585271513658e+02,-1.256249731432964589e+00
7.180783208205241408e+01,-1.553597760156349068e+02,-1.359566352115062049e+00
7.225663103256523812e+01,-1.560028405571933092e+02,-1.500654837656684171e+00
7.270542998307806215e+01,-1.566898947041117083e+02,-1.530345873834326964e+00
7.315422893359090040e+01,-1.573434525135192246e+02,-1.344971353676946979e+00
7.360302788410372443e+01,-1.578703684734815340e+02,-9.836950898690216549e-01
7.405182683461654847e+01,-1.582188174727047283e+02,-5.700711558492546072e-01
7.450062578512938671e+01,-1.583883691421809772e+02,-1.964379624179896089e-01
7.494942473564221075e+01,-1.584062886429583727e+02,1.036706072143485785e-01
7.539822368615503478e+01,-1.583066741343722583e+02,3.279715647404419232e-01
7.584702263666785882e+01,-1.581226865559879684e+02,4.800068277931390792e-01
7.629582158718068285e+01,-1.578866507047107177e+02,5.596176092985574169e-01
7.674462053769352110e+01,-1.576313139612958309e+02,5.664289063482204067e-01
7.719341948820634514e+01,-1.573878890174373737e+02,5.091660824417091336e-01
7.764221843871916917e+01,-1.571804838796585102e+02,4.108263206169829873e-01
7.809101738923200742e+01,-1.570204146967751058e+02,3.038472650227594940e-01
7.853981633974483145e+01,-1.569043897154789704e+02,2.189253044803906589e-01
7.898861529025765549e+01,-1.568176787683118505e+02,1.750740009304251610e-01
7.943741424077047952e+01,-1.567406238928023470e+02,1.749309822757193766e-01
7.988621319128330356e+01,-1.566560282039370691e+02,2.053782572833319220e-01
8.033501214179614180e+01,-1.565552946643707628e+02,2.422613171991085113e-01
8.078381109230896584e+01,-1.564418213881331781e+02,2.575683126617224761e-01
8.123261004282178988e+01,-1.563310511458980443e+02,2.267157578417188513e-01
8.168140899333462812e+01,-1.562477054690144485e+02,1.334863702532821939e-01
8.213020794384745216e+01,-1.562214967515440094e+02,-2.795816821211482422e-02
8.257900689436027619e+01,-1.562821596737557286e+02,-2.514150571817804214e-01
8.302780584487310023e+01,-1.564531143889236375e+02,-5.138193605269497644e-01
8.347660479538592426e+01,-1.567423795436988598e+02,-7.689179670143300172e-01
8.392540374589876251e+01,-1.571324948076341173e+02,-9.521683610544073861e-01
8.437420269641158654e+01,-1.575781357875124229e+02,-1.010838662618855688e+00
8.482300164692441058e+01,-1.580202779932991177e+02,-9.405837271932944166e-01
8.527180059743724883e+01,-1.584092774454863104e+02,-7.826935351105592797e-01
8.572059954795007286e+01,-1.587167830105730957e+02,-5.834319640344906022e-01
8.616939849846289690e+01,-1.589299481091106259e+02,-3.629883558237564367e-01
8.661819744897572093e+01,-1.590381934923944698e+02,-1.124761683459014755e-01
8.706699639948854497e+01,-1.590223908273843847e+02,1.950882002862429909e-01
8.751579535000138321e+01,-1.588500033711742390e+02,5.893824057808211281e-01
8.796459430051420725e+01,-1.584792679421114485e+02,1.075337963428292243e+00
8.841339325102703128e+01,-1.578813261739243785e+02,1.579857218478076142e+00
8.886219220153986953e+01,-1.570860856004842390e+02,1.918236144048532710e+00
8.931099115205269356e+01,-1.562086622906465152e+02,1.938754104698349634e+00
8.975979010256551760e+01,-1.553787235962055036e+02,1.744900036508212127e+00
9.020858905307834164e+01,-1.546366199582978993e+02,1.586140077545123983e+00
9.065738800359116567e+01,-1.539236551766651928e+02,1.633196008410050082e+00
9.110618695410400392e+01,-1.531310478205280958e+02,1.940768632344999522e+00
9.155498590461682795e+01,-1.521556958922934655e+02,2.411185564272755322e+00
9.200378485512965199e+01,-1.509966025140763293e+02,2.679685159061203858e+00
9.245258380564249023e+01,-1.498360119180737797e+02,2.401641376573337539e+00
9.290138275615531427e+01,-1.488916281388253822e+02,1.788499175542473285e+00
9.335018170666813830e+01,-1.482232027166859893e+02,1.214166138226076885e+00
9.379898065718096234e+01,-1.477769744127691922e+02,8.016026878373389009e-01
9.424777960769378637e+01,-1.474817358846617026e+02,5.357016076881493394e-01
9.469657855820662462e+01,-1.472785906108062761e+02,3.877416454778522814e-01
9.514537750871944866e+01,-1.471177226325704623e+02,3.471858450816454611e-01
9.559417645923227269e+01,-1.469498621547697894e+02,4.212917899519902365e-01
9.604297540974511094e+01,-1.467196793037654743e+02,6.283486188206028888e-01
9.649177436025793497e+01,-1.463635681869909888e+02,9.831597001107861278e-01
9.694057331077075901e+01,-1.458187164915960636e+02,1.457545338321449169e+00
9.738937226128358304e+01,-1.450578216948566137e+02,1.910312686697185791e+00
9.783817121179640708e+01,-1.441433047856650376e+02,2.106754626124170748e+00
9.828697016230924532e+01,-1.432163148738289919e+02,1.984720010009218161e+00
9.873576911282206936e+01,-1.423742738782704009e+02,1.779164277176485065e+00
9.918456806333489340e+01,-1.415920060939749021e+02,1.751016639715728518e+00
9.963336701384773164e+01,-1.407571981523429372e+02,2.021079949224568573e+00
1.000821659643605557e+02,-1.397402382401562591e+02,2.531193871357036329e+00
1.005309649148733797e+02,-1.385042234075382623e+02,2.907173839733717902e+00
1.009797638653862037e+02,-1.372203508890657986e+02,2.714830319047817575e+00
1.014285628158990278e+02,-1.361205024227764113e+02,2.174888424892789995e+00
1.018773617664118660e+02,-1.352478653783513778e+02,1.756572716949603485e+00
1.023261607169246901e+02,-1.345017070535587038e+02,1.613398536398288563e+00
1.027749596674375141e+02,-1.337666441073834278e+02,1.687805915654543742e+00
1.032237586179503523e+02,-1.329785009775858668e+02,1.814382950568852015e+00
1.036725575684631764e+02,-1.321647169000584654e+02,1.766634842739273736e+00
1.041213565189760004e+02,-1.314373235296436917e+02,1.430097787218337357e+00
1.045701554694888245e+02,-1.309087440215285199e+02,9.101454756365884302e-01
1.050189544200016485e+02,-1.306225615553791499e+02,3.722406226212595648e-01
1.054677533705144867e+02,-1.305638517372653951e+02,-9.574674853246292749e-02
1.059165523210273108e+02,-1.306939365850215609e+02,-4.664736417716581207e-01
1.063653512715401348e+02,-1.309651847002172360e+02,-7.204421654834316513e-01
1.068141502220529730e+02,-1.313181922627239544e+02,-8.247253116326968003e-01
1.072629491725657971e+02,-1.316788821993178829e+02,-7.529726681962164436e-01
1.077117481230786211e+02,-1.319699918690623122e+02,-5.222014799633948323e-01
1.081605470735914452e+02,-1.321338093898603461e+02,-1.999096777040241801e-01
1.086093460241042692e+02,-1.321492485657793168e+02,1.238391985807025808e-01
1.090581449746171074e+02,-1.320351991891358523e+02,3.644518450984581270e-01
1.095069439251299315e+02,-1.318440462434720075e+02,4.597467000009167748e-01
1.099557428756427555e+02,-1.316482569636360154e+02,3.846118953606059709e-01
1.104045418261555938e+02,-1.315217385545026048e+02,1.574261064797938259e-01
1.108533407766684178e+02,-1.315219223682740335e+02,-1.691460145988470942e-01
1.113021397271812418e+02,-1.316773708111184078e+02,-5.206613540017233088e-01
1.117509386776940659e+02,-1.319798282520596331e+02,-8.092365060824053824e-01
1.121997376282068899e+02,-1.323821357775181866e+02,-9.550892990914614522e-01
1.126485365787197281e+02,-1.328105523631685116e+02,-9.256571686621825057e-01
1.130973355292325522e+02,-1.331907577296916259e+02,-7.482325565590539629e-01
1.135461344797453762e+02,-1.334674359875023981e+02,-4.714720303705676185e-01
1.139949334302582145e+02,-1.336033692010028062e+02,-1.229482508135744667e-01
1.144437323807710385e+02,-1.335671003375134660e+02,2.972111948652204072e-01
1.148925313312838625e+02,-1.333253960188022234e+02,7.906962673201500813e-01
1.153413302817966866e+02,-1.328527417111474733e+02,1.311519619977814965e+00
1.157901292323095106e+02,-1.321649438308321578e+02,1.718439436486813188e+00
1.162389281828223488e+02,-1.313533496065746249e+02,1.844547509875871905e+00
1.166877271333351729e+02,-1.305503439884151931e+02,1.703711341702735638e+00
1.171365260838479969e+02,-1.298335066128125845e+02,1.498401722495390054e+00
1.175853250343608352e+02,-1.291870099483875549e+02,1.412208024152486141e+00
1.180341239848736592e+02,-1.285349955351599078e+02,1.530448020727476877e+00
1.184829229353864832e+02,-1.277811875438336671e+02,1.859145252315546282e+00
1.189317218858993073e+02,-1.268528083783380112e+02,2.268702167904294686e+00
1.193805208364121313e+02,-1.257838215658278926e+02,2.419094165249139117e+00
1.198293197869249695e+02,-1.247603635142419023e+02,2.062108442089269911e+00
1.202781187374377936e+02,-1.239789937378939584e+02,1.398229944156834659e+00
1.207269176879506176e+02,-1.235069443964526528e+02,7.148868720671185395e-01
